devicename,sensor,deviceid,value,dbtimestamp
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:48:30.9352050
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:48:30.9254490
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:48:30.9212790
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:48:30.9169920
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:48:30.9074620
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:48:30.9032310
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:48:30.8930030
NDS011,SCD41 Humidity,12,94.93706,2024-07-30T18:48:30.2666760
NDS011,SCD41 Temperature,12,28.591593,2024-07-30T18:48:30.2568780
NDS011,SCD41 CO2,12,477,2024-07-30T18:48:30.2521100
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:47:59.5050790
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:47:59.4958310
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:47:59.4918910
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:47:59.4876240
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:47:59.4781460
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:47:59.4739830
NDS011,7 in 1 Soil Sensor Moisture,12,28.6,2024-07-30T18:47:59.4696900
NDS011,SCD41 Humidity,12,95.37957,2024-07-30T18:47:58.6663740
NDS011,SCD41 Temperature,12,28.620966,2024-07-30T18:47:58.6548740
NDS011,SCD41 CO2,12,479,2024-07-30T18:47:58.6429510
NDS011,7 in 1 Soil Sensor Potassium,12,520,2024-07-30T18:47:27.8597800
NDS011,7 in 1 Soil Sensor Phosphorus,12,524,2024-07-30T18:47:27.8500530
NDS011,7 in 1 Soil Sensor Nitrogen,12,207,2024-07-30T18:47:27.8457790
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:47:27.8414600
NDS011,7 in 1 Soil Sensor EC,12,1176,2024-07-30T18:47:27.8320940
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:47:27.8281520
NDS011,7 in 1 Soil Sensor Moisture,12,29.9,2024-07-30T18:47:27.8241240
NDS011,SCD41 Humidity,12,95.455864,2024-07-30T18:47:27.1974110
NDS011,SCD41 Temperature,12,28.647669,2024-07-30T18:47:27.1876680
NDS011,SCD41 CO2,12,484,2024-07-30T18:47:27.1836590
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:46:56.4054150
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:46:56.4013700
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:46:56.3915560
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:46:56.3875770
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:46:56.3832490
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:46:56.3737830
NDS011,7 in 1 Soil Sensor Moisture,12,28.2,2024-07-30T18:46:56.3697120
NDS011,SCD41 Humidity,12,95.70153,2024-07-30T18:46:55.6637490
NDS011,SCD41 Temperature,12,28.693066,2024-07-30T18:46:55.6574970
NDS011,SCD41 CO2,12,486,2024-07-30T18:46:55.6475090
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:46:24.7885210
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:46:24.7840590
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:46:24.7747970
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:46:24.7705750
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:46:24.7609720
NDS011,7 in 1 Soil Sensor Temperature,12,29.4,2024-07-30T18:46:24.7568390
NDS011,7 in 1 Soil Sensor Moisture,12,30.1,2024-07-30T18:46:24.7527330
NDS011,SCD41 Humidity,12,96.472115,2024-07-30T18:46:24.1174060
NDS011,SCD41 Temperature,12,28.717098,2024-07-30T18:46:24.1079320
NDS011,SCD41 CO2,12,485,2024-07-30T18:46:24.1036400
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:45:53.3845780
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:45:53.3793140
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:45:53.3700460
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:45:53.3652940
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:45:53.3556110
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:45:53.3510580
NDS011,7 in 1 Soil Sensor Moisture,12,28.7,2024-07-30T18:45:53.3402380
NDS011,SCD41 Humidity,12,96.33784,2024-07-30T18:45:52.6880220
NDS011,SCD41 Temperature,12,28.711758,2024-07-30T18:45:52.6791830
NDS011,SCD41 CO2,12,482,2024-07-30T18:45:52.6749030
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:45:22.0012260
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:45:21.9969250
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:45:21.9877170
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:45:21.9835520
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:45:21.9743670
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:45:21.9702460
NDS011,7 in 1 Soil Sensor Moisture,12,31.7,2024-07-30T18:45:21.9661570
NDS011,SCD41 Humidity,12,96.45228,2024-07-30T18:45:21.3467570
NDS011,SCD41 Temperature,12,28.709087,2024-07-30T18:45:21.3377060
NDS011,SCD41 CO2,12,477,2024-07-30T18:45:21.3336290
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:44:50.4724170
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:44:50.4683020
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:44:50.4593290
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:44:50.4551360
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:44:50.4511850
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:44:50.4416590
NDS011,7 in 1 Soil Sensor Moisture,12,27.7,2024-07-30T18:44:50.4376860
NDS011,SCD41 Humidity,12,95.74273,2024-07-30T18:44:49.8067990
NDS011,SCD41 Temperature,12,28.610285,2024-07-30T18:44:49.7980890
NDS011,SCD41 CO2,12,467,2024-07-30T18:44:49.7939420
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:44:19.1194580
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:44:19.1101030
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:44:19.1060930
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:44:19.1021140
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:44:19.0930400
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:44:19.0887700
NDS011,7 in 1 Soil Sensor Moisture,12,27.7,2024-07-30T18:44:19.0844860
NDS011,SCD41 Humidity,12,95.71984,2024-07-30T18:44:18.3778120
NDS011,SCD41 Temperature,12,28.631647,2024-07-30T18:44:18.3689770
NDS011,SCD41 CO2,12,467,2024-07-30T18:44:18.3648470
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:43:47.6755790
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:43:47.6667530
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:43:47.6624030
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:43:47.6579110
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:43:47.6489840
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:43:47.6450040
NDS011,7 in 1 Soil Sensor Moisture,12,28.2,2024-07-30T18:43:47.6362840
NDS011,SCD41 Humidity,12,95.84955,2024-07-30T18:43:46.9358050
NDS011,SCD41 Temperature,12,28.612955,2024-07-30T18:43:46.9266350
NDS011,SCD41 CO2,12,463,2024-07-30T18:43:46.9227070
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:43:16.2414450
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:43:16.2325450
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:43:16.2283500
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:43:16.2241890
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:43:16.2152570
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:43:16.2112530
NDS011,7 in 1 Soil Sensor Moisture,12,27.9,2024-07-30T18:43:16.2069300
